"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Short Description","External Apply Link"
"Garzon Part Time 20 hrs - Lunes a Viernes","","","","COMERCIAL CENTRAL ALIMENTOS","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/rc/clk?jk=770567d211c90ad9&fccid=1a95cd22992fa3ef&vjs=3","770567d211c90ad9","PostedPublicado hace 4 días","2023-03-13T14:37:51.009Z"," 
 Se requieren Garzones Part Time 20 horas de Lunes a Viernes.
 Se necesitan personas que quieran conformar un equipo de trabajo dinámico y proactivo, buscamos…
","cl.indeed.com/applystart?jk=770567d211c90ad9"
"Garzón","$650.000 por mes","Medio tiempo","","goldenmind","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/goldenmind/jobs/Garz%C3%B3n-33bf81213d46ff4d?fccid=e571728ab70f0ace&vjs=3","33bf81213d46ff4d","EmployerActivo hace 1 día","2023-03-13T14:37:51.009Z"," 
 Se necesita personal con capacidades para aprender y enseñar.
 Cada uno de los nominados seran capacitados en corto tiempo para cumplir las funciones necesarias.
","cl.indeed.com/applystart?jk=33bf81213d46ff4d"
"Trabajo para estudiantes - Part time","$120.000 - $200.000 por mes","Medio tiempo","","Staff de promotores","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Staff-de-promotores/jobs/Estudiantes-6e9f5323837642bb?fccid=fa117d8fc01f1e1b&vjs=3","6e9f5323837642bb","EmployerActivo hace 1 día","2023-03-13T14:37:51.009Z"," 
 Si no tienes experiencia, no importa.
 Estamos buscando estudiantes y jóvenes para incorporarse a nuestro equipo de promotores!
 Tipo de puesto: Medio tiempo.
","cl.indeed.com/applystart?jk=6e9f5323837642bb"
"Diseñador/a Senior de PD&P | Senior PD&P Designer","","","","Bechtel","Santiago de Chile, Región Metropolitana","4,1","https://cl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1HrGvM3IO11DU-hdc4u4iftvEi0SlREeNwZASq2ihTw1OyUwQHweFkDBv_UVqoV86kkm2PwCWuhzRnhpIj9FsaC9Km0gxLs6ZwX5KAh5fUQE4vLAZ3yj32rkl1XKQzmYXk3dK8uP6RS-bJhm-iLN1NahKfOdZ-QvR9p8PshBcSAeS4oxr6cfczCdVULOAJ7ducF4_a0Tvilz2SI85vCMAhRXJiuQLr-cd6S411MHfBAWOWhlGFTi1WYKNBVgV4ZKwmTi3tMPNyEfsb7gbQTOAelZFTSaUP4y4R2705R2Wvl2rq8CZ-AIup2pB87luXy1IjVkTA_CVPEWpe1c8zx_rxHBWDf7ZDZ6Lbckj89FmzBjtCblFVZkQw5Sgr1nkjtOyLoSntoVS0xG30p57yjR68kszPxurJHaQSqs0umwRngX-Rn0A9Wdpzeoi6_pxm9-0Ar0cF6yZcfV-sKdVgr0tRP1bZ8eZ_ZY5BiYe_IKt_PpsGvyg2gGiVRGQFd5RKdxBxz8hcBT3Rzn6tzg4zTFeZZyn056dUPIJLj1p-AgYXd6f1QlLRAJGLy4O-RvjVQwYGBJMtsdp7eIwxfOQ4K7Mqsp7S0z-lpgBfKSBzdOZNP3jiCqNwA2-pnswjQRBPsGeNKAqC5En4aDK0u2scQsEz8YQCJo7gWy9eDug5IUZSH3ZFQG3bOEHxX0IHCKdXOtFbilHVvLq2zYKh3w08XNp_wjBta5xt9LUslukukYCYA==&xkcb=SoBH-_M3StlP1nQiyB0KbzkdCdPP&p=13&fvj=0&vjs=3","043cfbb46a05ec05","PostedPublicado hace 6 días","2023-03-13T14:37:51.009Z"," 
 Todos los postulantes calificados serán considerados para su contratación sin distinción de raza, color, religión, sexo, orientación sexual, identidad y…
","cl.indeed.com/applystart?jk=043cfbb46a05ec05"
"Cajero/ a Part Time para Cafetería La Dehesa","$550.000 por mes","Medio tiempo","","LA FETE CHOCOLAT","Santiago de Chile, Región Metropolitana","4,1","https://cl.indeed.com/company/LA-FETE-CHOCOLAT/jobs/Cajero-e456654e6a9e2b33?fccid=ae4cce0fe236612e&vjs=3","e456654e6a9e2b33","EmployerActivo hace 1 día","2023-03-13T14:37:51.010Z"," 
 Reajuste de Remuneraciones anual de acuerdo a la variación del I.P.C.
 Somos una exclusiva y reconocida empresa dedicada a la chocolatería fina y cafetería la…
","cl.indeed.com/applystart?jk=e456654e6a9e2b33"
"Anfitriones Happyland Mall Sport / Part time","","","","Happyland","Las Condes, Región Metropolitana","3,8","https://cl.indeed.com/rc/clk?jk=39dc8d8623fc4f21&fccid=30352f09498955a8&vjs=3","39dc8d8623fc4f21","EmployerActivo hace 3 días","2023-03-13T14:37:58.071Z"," 
 Somos la cadena de centros de entretención familiar líder en Latinoamérica, con más de 25 años de experiencia, con locales ubicados en los principales centros…
","cl.indeed.com/applystart?jk=39dc8d8623fc4f21"
"Trainee Logistica","","","","Siemens","Santiago de Chile, Región Metropolitana","4,0","https://cl.indeed.com/rc/clk?jk=a282976bbf8766d0&fccid=ea6bb53f0b18b8f2&vjs=3","a282976bbf8766d0","PostedPublicado hace 2 días","2023-03-13T14:37:58.072Z"," 
 Full / Part time: Full-time.
 Generar contacto con proveedores terceros para obtener cotizaciones de acuerdo a requerimientos del negocio.
","cl.indeed.com/applystart?jk=a282976bbf8766d0"
"Asistente Administrativo","","","","Servicios Gastronomicos GOFA Limitada","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Servicios-Gastronomicos-GOFA-Limitada/jobs/Asistente-administrativo-32f74d7ac4cedc2a?fccid=f374c446bd507952&vjs=3","32f74d7ac4cedc2a","PostedPublicado hace más de 30 días","2023-03-13T14:37:58.072Z"," 
 Jornada en horario nocturno, para el ingreso de pedidos y emisión de reportes.
 (Esto a través de conexión remota, por lo que se deberá contar con pc o laptop y…
","cl.indeed.com/applystart?jk=32f74d7ac4cedc2a"
"Recepcionista Part Time 20 Horas, IKEA Open Kennedy","","","","IKEA Chile, Colombia y Perú","Las Condes, Región Metropolitana","","https://cl.indeed.com/rc/clk?jk=519d9beaa7bdad67&fccid=dd616958bd9ddc12&vjs=3","519d9beaa7bdad67","EmployerActivo hace 9 días","2023-03-13T14:37:58.072Z"," 
 IKEA fue fundada por Ingvar Kamprad en 1943, siendo originalmente un negocio de venta por catálogo en Älmhult, Suecia.
","cl.indeed.com/applystart?jk=519d9beaa7bdad67"
"MUCAMA para Hostal","$400.000 - $450.000 por mes","Medio tiempo","","elfosbar ltda","Providencia, Región Metropolitana","","https://cl.indeed.com/company/elfosbar-ltda/jobs/Mucama-hostal-1b91faf53f943281?fccid=29d1d58248c6e460&vjs=3","1b91faf53f943281","PostedPublicado hace 28 días","2023-03-13T14:37:58.072Z","hacer las camas, lavar las sabanas en la lavadora y planchar Tipo de puesto: Medio tiempo Horas de medio tiempo: 36 por semana Salario: $400.000 - $450.000…","cl.indeed.com/applystart?jk=1b91faf53f943281"
